ticker,marketCap
^GSPC,
TSLA,2.62818E+11
RDS-A,1.21536E+11
BP,76360335360
GC=F,
^TNX,
BZ=F,
HG=F,
MASI,12633781248
GSK,1.02657E+11
GOLD,50392072192
BYND,7785188352
BNTX,19584086016
CHGG,9078088704
CHWY,18455834624
NET,10846663680
COR,4723900416
COUP,19592955904
DDOG,25399314432
DOCU,35041042432
EBS,4711686656
ETSY,12056497152
EVBG,4576842752
FSLY,8132160512
LVGO,10674768896
LOGI,11898882048
MKTX,19175358464
MRVL,23278848000
MKC,25776670720
MRNA,27177308160
NEM,53572550656
OKTA,25624594432
PANW,23515494400
PTON,17509402624
PLD,73791733760
RNG,23579549696
CRM,1.69829E+11
SNY,1.29589E+11
SHOP,1.10878E+11
WORK,16753103872
SPLK,31705485312
SPOT,49973547008
SQ,53341605888
TTWO,17777387520
TW,12308746240
TTD,19624101888
VEEV,37829537792
VMW,59010621440
WIX,13882388480
WING,4047304960
ZM,69555314688
MMM,91939332096
ABT,1.75028E+11
ABBV,1.71142E+11
ABMD,13195218944
ACN,1.41079E+11
ATVI,61631094784
ADBE,2.06405E+11
AMD,81280589824
AAP,10176534528
AES,10239567872
AFL,26382768128
A,29275146240
APD,64383647744
AKAM,18132496384
ALK,4297830400
ALB,9254005760
ARE,21256683520
ALXN,22411732992
ALGN,23482402816
ALLE,9316084736
ADS,2115159424
LNT,13253652480
ALL,29639985152
GOOGL,1.02918E+12
GOOG,1.0324E+12
MO,77772783616
AMZN,1.50077E+12
AMCR,16799273984
AEE,19632773120
AAL,5787373056
AEP,43636084736
AXP,76737986560
AIG,26967021568
AMT,1.13633E+11
AWK,26161446912
AMP,18994042880
ABC,21105096704
AME,21314232320
AMGN,1.45873E+11
APH,30888376320
ADI,41400328192
ANSS,25123106816
ANTM,68194852864
AON,47966482432
AOS,8268093440
APA,5359449088
AIV,5307001856
AAPL,1.6057E+12
AMAT,55556956160
APTV,22209636352
ADM,23380826112
ANET,17927581696
AJG,19707310080
AIZ,6370269184
T,2.10686E+11
ATO,12598135808
ADSK,51046596608
ADP,62502031360
AZO,27297560576
AVB,20666349568
AVY,10034969600
BKR,16901371904
BLL,23850305536
BAC,2.1097E+11
BK,32094781440
BAX,45418700800
BDX,80174112768
BBY,25053388800
BIIB,43113373696
BLK,86996721664
BA,98057109504
BKNG,69635743744
BWA,7952411648
BXP,14087306240
BSX,55148974080
BMY,1.30897E+11
AVGO,1.22984E+11
BR,15073175552
CHRW,11585883136
COG,7588887552
CDNS,28601473024
CPB,14926902272
COF,29686876160
CAH,16497208320
KMX,15893581824
CCL,11591891968
CARR,23022505984
CAT,74463657984
CBOE,9822134272
CBRE,14465808384
CDW,16303949824
CE,10927906816
CNC,39096999936
CNP,9922449408
CTL,11073775616
CERN,21849214976
CF,6537911808
SCHW,44982104064
CHTR,1.15972E+11
CVX,1.68271E+11
CMG,31606591488
CB,60892573696
CHD,21114832896
CI,66792939520
CINF,13383550976
CTAS,31485530112
CSCO,1.95915E+11
C,1.07572E+11
CFG,10918182912
CTXS,17590534144
CLX,28592054272
CME,60511723520
CMS,18183618560
KO,2.08286E+11
CTSH,33407842304
CL,63657160704
CMCSA,1.97856E+11
CMA,5202876416
CAG,17831852032
CXO,10515688448
COP,43197480960
ED,25251430400
STZ,34751160320
COO,15124199424
CPRT,21017325568
GLW,22288166912
CTVA,21343512576
COST,1.4384E+11
COTY,3060011008
CCI,69472395264
CSX,54608338944
CMI,27770294272
CVS,82791079936
DHI,23175546880
DHR,1.3806E+11
DRI,10209281024
DVA,10636793856
DE,54859829248
DAL,16558768128
XRAY,9473019904
DVN,4094889984
DXCM,39770140672
FANG,6427845632
DLR,39439327232
DFS,15566216192
DISCA,10069980160
DISCK,10074735616
DISH,17486010368
DG,48255107072
DLTR,22679377920
D,67484176384
DPZ,15223825408
DOV,15190275072
DOW,31562549248
DTE,22067556352
DUK,60838481920
DRE,13725913088
DD,40028626944
DXC,4357351936
ETFC,11445777408
EMN,10414915584
ETN,37444001792
EBAY,38731665408
ECL,59708719104
EIX,21172254720
EW,49690677248
EA,39045681152
EMR,37856018432
ETR,20548632576
EOG,28543537152
EFX,20309940224
EQIX,65269706752
EQR,20221327360
ESS,14007173120
EL,69029806080
EVRG,14524963840
ES,30650927104
RE,8957488128
EXC,36832620544
EXPE,11803098112
EXPD,13345700864
EXR,12314900480
XOM,1.83728E+11
FFIV,9276973056
FB,6.5822E+11
FAST,26237652992
FRT,5520452608
FDX,43232886784
FIS,88782741504
FITB,13910761472
FE,15970907136
FRC,19688069120
FISV,67370176512
FLT,21627670528
FLIR,5360596992
FLS,3945420288
FMC,13894840320
F,27362035712
FTNT,21505781760
FTV,23916775424
FBHS,9794237440
FOXA,16066009088
FOX,16030768128
BEN,10203303936
FCX,19049846784
GPS,4713204224
GRMN,18479081472
IT,11119244288
GD,43072778240
GE,60005036032
GIS,39171887104
GM,37565849600
GPC,12787206144
GILD,92371812352
GL,8554422272
GPN,51634667520
GS,69282914304
GWW,18253406208
HRB,2819758848
HAL,12904759296
HBI,4862049280
HOG,4452739072
HIG,14852951040
HAS,10630683648
HCA,42374561792
PEAK,14124205056
HSIC,9568934912
HSY,30302896128
HES,15498485760
HPE,12359391232
HLT,21468317696
HFC,4367684096
HOLX,15944220672
HD,2.85346E+11
HON,1.04877E+11
HRL,27093116928
HST,7402068992
HWM,6781402112
HPQ,25024299008
HUM,51843264512
HBAN,9736512512
HII,7166379520
IEX,12640960512
IDXX,30510483456
INFO,31554328576
ITW,58381070336
ILMN,56190750720
INCY,21611223040
IR,13164339200
INTC,2.14198E+11
ICE,52708425728
IBM,1.11688E+11
IP,14275249152
IPG,7227339776
IFF,13561116672
INTU,75279376384
ISRG,78755635200
IVZ,4790874112
IPGP,9295207424
IQV,30202445824
IRM,7841933312
JKHY,13759358976
J,10920846336
JBHT,13799260160
SJM,12339639296
JNJ,3.90496E+11
JCI,27374120960
JPM,2.99518E+11
JNPR,8111496704
KSU,14595835904
K,23534577664
KEY,11955350528
KEYS,18114533376
KMB,50176196608
KIM,4649643520
KMI,32226232320
KLAC,29181771776
KSS,3290393856
KHC,42373066752
KR,27001810944
LB,5331538432
LHX,36965580800
LH,19317528576
